0	25925
0	53017
0	4361
0	69666
0	69110
0	85134
0	1065
1	31707
1	5860
1	95019
1	82848
1	80339
1	5638
1	2450
1	54371
1	32844
1	53820
1	95931
1	35795
1	13515
1	14604
1	33935
1	83951
2	37883
2	47817
2	11355
2	16630
2	16632
2	95076
2	34607
2	15979
2	18893
2	50913
2	34688
2	62659
2	70231
2	0
2	16412
3	96439
3	61106
3	33364
3	38610
3	73820
3	28281
3	1
4	96328
4	96098
4	90678
4	34706
4	66071
4	52946
4	53006
4	48521
4	29277
4	83896
5	61429
5	2
5	17991
5	27934
5	0
5	52605
5	89251
5	55321
5	75739
5	4
5	80209
6	26740
6	51162
6	78083
6	84225
6	78193
6	19075
6	95298
6	6829
6	46439
7	5
7	0
7	90241
7	2
7	70382
7	37655
7	65788
7	32790
7	74124
7	96232
7	84535
7	82936
7	10706
7	29093
8	63282
8	34465
8	6316
8	80353
8	91814
8	61058
8	16489
8	9465
8	4518
8	90336
9	88864
9	13656
9	98800
9	64895
9	9334
9	80831
9	60749
10	28779
10	74881
10	44164
10	67984
10	76097
10	8876
10	12482
10	4849
10	94856
11	91390
11	16154
11	1
11	25620
11	70301
11	51223
11	46397
11	89277
11	72495
11	76802
11	60460
12	1
12	11
12	11310
12	40466
12	44817
12	98393
12	3
12	57307
12	48254
12	98218
12	54806
12	88066
12	71520
12	89770
13	14354
13	3668
13	6
13	17142
13	62877
13	9197
13	77560
13	20801
13	80633
13	86915
14	41006
14	81732
14	89054
14	57603
14	93474
14	1
14	12
14	21571
14	55088
14	17693
14	91443
14	8817
14	11159
14	40424
14	35187
14	61277
15	4
15	5
15	6
15	12478
15	37806
15	11274
15	42933
15	80635
15	78235
15	97361
15	18492
15	89839
16	20668
16	90634
16	31690
16	51662
16	96885
16	35736
16	4383
16	16678
16	87780
16	79662
16	5883
16	29365
17	94988
17	70243
17	75978
17	73550
17	73071
17	9264
17	44774
17	69958
17	59575
17	63399
18	22727
18	18223
18	42250
18	61346
18	29980
18	71249
18	88969
18	3733
18	74530
18	831
18	79566
18	8
18	12040
18	46903
18	50468
18	88625
18	8800
19	3
20	31223
20	27841
20	32159
20	15319
20	17
20	99729
20	4264
21	2
21	38039
21	75140
22	60844
22	1711
22	29508
22	36626
22	70030
22	47723
22	41720
23	81063
23	83219
23	97044
23	18602
23	20
23	5
23	2
24	8216
24	3112
24	52890
24	95740
24	93370
24	56467
24	59749
26	41930
26	5247
26	19712
26	84233
26	408
26	86377
26	73326
26	70073
26	29798
26	11180
26	1140
26	8582
26	68781
26	56968
27	91303
27	78678
27	72313
27	35290
27	23500
28	60185
28	75740
